Carrera,Sexo,FechaNacimiento,Edad,Semestre,AsignaturasCursadas,AsignaturasAprobadas,CreditosCursados,CreditosAprobados,PromedioUltimoPeriodo,PromedioAcumulado,Duracion,Estado
INGENIERÍA DE SISTEMAS,Masculino,22/01/1997,20,1,6,3,20,10,0.54,1.965,1,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,18/11/1992,24,1,5,2,12,5,2.463,2.463,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,31/08/1990,27,6,47,29,141,90,2.783,3.25,14,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,23/06/1996,21,3,24,14,76,45,3.444,2.981,4,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,14/02/1993,24,4,5,3,17,10,0.857,3.906,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,24/07/1996,21,6,35,31,113,97,4.03,3.505,7,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,15/09/1988,29,3,18,14,58,45,2.98,3.292,5,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,08/10/1950,67,5,35,23,112,73,3.48,2.985,9,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,08/10/1991,26,5,6,5,18,15,3.358,3.037,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,19/07/1987,30,2,2,1,4,2,2.15,3.038,0,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,24/11/1992,24,2,10,9,32,29,3.65,3.794,1,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,10/03/1993,24,1,4,2,13,7,2.85,2.85,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,07/07/1988,29,3,3,0,10,0,0.3,2.153,0,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,30/04/1999,18,2,10,10,33,33,3.791,3.932,1,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,07/01/1996,21,6,37,33,115,101,3.65,3.582,7,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,26/10/1992,25,1,4,4,13,13,3.219,3.219,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,25/05/1987,30,9,56,44,170,134,2.567,3.165,12,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,19/06/1981,36,10,24,17,24,17,3.2,3.113,6,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,09/01/1996,21,3,28,18,90,58,3.64,3.087,5,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,13/10/1986,31,5,7,4,23,12,3.021,3.568,5,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,07/06/1991,26,4,8,5,26,15,1.92,3.122,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,14/11/1997,20,3,21,18,69,58,3.175,3.342,3,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,24/08/1986,31,6,23,13,65,36,2.183,2.988,8,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,23/12/1994,22,2,2,0,6,0,1.2,3.026,0,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,13/12/1998,18,1,4,4,13,13,3.815,3.815,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,28/04/1994,23,5,24,15,82,49,3.71,3.469,7,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,28/12/1973,43,10,5,5,5,5,4.9,3.487,1,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,17/12/1995,21,2,10,6,32,19,2.334,2.777,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,29/06/2005,12,6,7,4,18,10,3.825,3.125,5,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,24/08/1985,32,10,68,48,200,141,2.7,3.128,17,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,18/03/1988,29,1,5,0,16,0,1.638,1.638,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,28/01/1990,27,3,26,19,70,53,2.654,3.225,4,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,11/04/1997,20,1,4,1,13,3,2.7,2.7,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,30/09/1992,25,4,13,13,41,41,4.013,3.817,4,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,25/09/1998,19,1,4,4,12,12,3.675,3.304,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,25/09/1998,19,1,5,3,16,9,3.025,3.025,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,05/06/1994,23,1,9,3,28,10,1.613,2.463,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,30/10/1995,22,6,33,30,98,93,4.23,4.016,5,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,22/10/1984,33,10,17,17,17,17,4,3.733,3,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,02/06/1986,31,1,6,0,16,0,1.406,1.406,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,11/03/1991,26,4,49,20,153,61,0.12,2.357,9,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,28/12/1977,39,5,18,14,55,43,2.4,3.273,5,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,29/03/1991,26,1,4,3,13,10,3.223,3.223,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,28/06/1993,24,1,5,2,12,5,3.063,3.063,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,15/08/1989,28,10,68,64,184,170,3.884,3.884,13,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,26/08/1995,22,1,7,5,23,16,2.658,2.78,1,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,06/08/1990,27,9,70,51,207,148,2.725,3.178,15,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,18/08/1992,25,4,18,15,55,46,3.563,3.354,3,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,04/01/1990,27,1,18,9,54,25,2.616,2.829,4,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,06/04/1983,34,10,17,15,17,15,3,3.338,4,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,28/12/1996,20,1,4,1,13,3,2.965,2.965,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,25/07/1989,28,9,66,41,203,122,1.025,2.623,14,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,29/04/1988,29,1,5,2,13,6,2.154,2.154,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,05/12/1994,22,2,16,10,52,32,3.655,3.129,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,12/05/1994,23,1,3,0,9,0,1.15,1.15,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,13/01/1995,22,5,10,10,31,31,4,4.196,3,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,29/08/1996,21,1,4,4,13,13,3.358,3.358,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,06/07/1987,30,10,53,44,151,125,0,0,12,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,03/06/1989,28,3,15,10,48,32,0.312,2.875,2,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,01/05/1986,31,3,25,16,76,49,2.6,3.099,7,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,01/01/1980,37,10,52,40,147,113,3.05,3.17,15,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,01/02/1998,19,1,5,2,16,6,2.419,2.419,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,02/08/1990,27,1,15,5,39,14,0.788,1.54,4,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,02/07/1996,21,1,13,5,42,15,2.6,2.605,2,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,15/08/1992,25,1,5,2,16,6,2.725,2.725,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,27/11/1993,23,1,5,5,16,16,3.806,3.806,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,19/04/1991,26,10,56,48,170,146,3.525,3.42,14,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,23/07/1993,24,6,46,27,144,85,1.9,2.919,10,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,12/06/1991,26,3,30,15,88,42,1.615,2.857,8,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,11/03/1984,33,9,59,57,164,158,3.933,3.934,10,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,14/08/1984,33,9,56,38,167,110,0,0,12,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,02/07/1984,33,10,37,25,106,71,3.1,3.255,10,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,19/12/1988,28,1,6,6,16,16,3.788,3.788,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,01/03/1993,24,1,5,3,16,9,2.975,2.975,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,13/11/1985,32,1,12,11,32,28,3.769,3.653,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,21/10/1993,24,4,7,5,23,15,2.631,3.332,1,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,19/11/1985,31,9,67,55,192,152,4.5,4.5,14,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,04/06/1990,27,8,46,41,140,126,3.1,3.485,12,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,03/04/1980,37,10,2,2,2,2,4.5,3.39,0,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,30/11/1993,23,2,9,9,29,29,3.446,3.521,1,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,27/05/1981,36,10,35,29,94,76,3.05,3.217,7,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,20/06/1989,28,5,35,23,113,73,2.704,3.255,8,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,29/07/1986,31,3,3,2,10,6,3.36,4.281,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,14/03/1991,26,2,12,6,32,16,2.591,2.904,1,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,19/04/1983,34,10,8,8,8,8,4.15,3.58,1,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,17/07/1982,35,10,37,30,105,84,3,3.276,7,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,15/01/1984,33,10,2,2,2,2,3.5,3.5,0,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,15/01/1984,33,10,2,2,2,2,3.7,3.455,0,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,22/05/1998,19,1,4,4,13,13,3.727,3.727,0,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,07/05/1983,34,10,3,2,3,2,3.775,3.425,0,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,25/08/1991,26,2,7,5,23,15,3.825,3.34,3,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,07/11/1988,29,4,15,10,44,29,0.8,2.974,2,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,23/02/1988,29,4,4,0,13,0,0.773,2.955,0,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,16/06/1982,35,9,58,27,170,75,1.567,3.04,17,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,29/06/1989,28,2,30,12,80,31,0,1.597,5,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,24/07/1988,29,8,34,28,99,81,2.96,3.268,6,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,27/11/1985,31,10,61,53,177,153,4,3.547,11,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,27/11/1985,31,10,61,53,177,153,0,0,11,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,06/03/1988,29,6,23,11,72,35,2.767,2.903,10,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,26/04/1998,19,1,5,3,16,9,3.275,3.275,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,25/07/1992,25,10,66,60,181,168,3,3.568,13,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,25/07/1992,25,10,66,60,181,168,3.95,3.95,13,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,16/02/1985,32,9,10,9,10,9,3.736,3.511,1,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,18/04/1996,21,1,10,0,32,0,1.491,1.491,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,19/04/1998,19,3,19,17,62,55,3.725,3.424,3,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,12/05/1992,25,3,24,19,65,51,2.871,3.529,4,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,30/12/1992,24,5,41,17,132,52,0.85,2.307,9,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,12/12/1986,30,5,37,32,112,97,2.625,3.481,9,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,12/03/1986,31,10,41,31,116,86,4,3.258,13,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,29/02/1988,29,4,14,13,42,39,3.538,3.661,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,19/11/1987,29,4,17,14,44,37,2.9,3.754,7,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,02/05/1982,35,2,21,11,62,31,0,2.161,11,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,17/04/1992,25,2,17,8,47,20,1.65,2.313,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,30/05/1993,24,2,17,11,55,35,2.815,3.037,3,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,21/01/1981,36,10,35,35,97,97,4.5,3.897,6,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,14/03/1996,21,7,40,38,122,116,3.56,3.901,7,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,19/04/1985,32,10,45,40,120,105,3.3,3.541,13,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,20/03/1996,21,1,5,1,16,3,2.631,2.631,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,15/07/1986,31,10,44,35,124,98,3.513,3.27,11,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,20/01/1983,34,6,14,6,42,17,0.807,2.822,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,08/07/1991,26,2,23,12,73,39,3.331,2.904,5,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,19/09/1975,42,5,11,3,32,8,0.2,2.881,7,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,17/07/1990,27,10,63,59,178,166,3.5,3.442,11,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,20/01/1994,23,7,38,31,116,97,1.767,3.197,8,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,20/12/1990,26,2,12,7,37,22,1.2,2.769,2,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,26/11/1995,21,1,4,4,13,13,3.546,3.546,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,07/05/1997,20,3,21,14,68,44,3.061,3.107,3,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,21/05/1984,33,3,17,17,54,54,3.996,3.901,3,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,14/11/1989,28,10,53,48,154,137,4.7,3.374,10,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,05/05/1997,20,1,4,1,13,4,2.65,2.65,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,04/11/1989,28,1,5,1,16,3,2.175,2.175,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,18/05/1986,31,10,76,52,223,150,3.85,3.164,17,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,09/04/1991,26,9,63,55,176,156,3.046,3.719,15,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,08/05/1991,26,1,6,3,19,9,2.361,2.361,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,25/12/1992,24,1,10,4,32,12,0.056,1.669,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,26/03/1981,36,10,21,20,63,57,3.87,3.701,4,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,13/11/1990,27,2,17,9,55,29,2.67,2.881,4,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,17/06/1989,28,1,12,8,32,18,2.5,3,2,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,18/10/1985,32,1,11,9,30,24,2.95,3.109,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,25/12/1996,20,3,16,16,50,50,3.426,3.867,2,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,17/01/1983,34,4,2,0,5,0,0.12,2.685,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,09/04/1977,40,5,29,28,83,80,3.34,3.894,4,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,22/06/1975,42,9,42,39,129,120,4.08,3.611,10,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,14/02/1991,26,10,72,55,207,158,3.2,3.212,15,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,14/02/1991,26,10,72,55,207,158,2,2,15,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,14/03/1989,28,7,54,36,165,107,0,2.871,13,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,24/02/1995,22,2,13,6,42,19,1.488,2.592,3,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,28/04/1988,29,3,18,18,52,52,3.71,3.714,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,29/07/1985,32,10,14,9,30,23,3.854,4.081,15,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,03/01/1991,26,9,64,63,184,182,4.1,4.033,13,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,28/06/1995,22,5,16,16,51,51,4.35,4.166,3,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,06/03/1994,23,1,6,5,19,16,3.247,3.247,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,26/12/1988,28,6,27,24,79,69,3.35,3.37,4,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,03/05/1986,31,10,57,50,162,140,3,3.336,10,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,21/06/1976,41,5,6,2,20,6,2.66,3.007,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,24/10/1991,26,9,56,48,166,141,1.1,3.301,10,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,27/06/1982,35,3,18,17,51,47,3.761,3.854,2,DESERTOR
